idblk,row,col,xpos,ypos,ncol_per_row,is_on_edge
152,8,20,1.10733,0.2461,21,1
153,9,0,1.0644,-0.58097,21,1
154,9,1,1.0644,-0.53805,21,0
155,9,2,1.0644,-0.49512,21,0
156,9,3,1.0644,-0.45057,21,0
157,9,4,1.0644,-0.40764,21,0
158,9,5,1.0644,-0.36472,21,0
159,9,6,1.0644,-0.32017,21,0
160,9,7,1.0644,-0.27724,21,0
161,9,8,1.0644,-0.23432,21,0
162,9,9,1.0644,-0.18976,21,0
163,9,10,1.0644,-0.14684,21,0
164,9,11,1.0644,-0.10391,21,0
165,9,12,1.0644,-0.05936,21,0
166,9,13,1.0644,-0.01643,21,0
167,9,14,1.0644,0.02649,21,0
168,9,15,1.0644,0.07104,21,0
169,9,16,1.0644,0.11397,21,0
170,9,17,1.0644,0.1569,21,0
171,9,18,1.0644,0.20145,21,0
172,9,19,1.0644,0.24437,21,0
173,9,20,1.0644,0.2873,21,1
174,10,0,1.02148,-0.58097,21,1
175,10,1,1.02148,-0.53805,21,0
176,10,2,1.02148,-0.49512,21,0
177,10,3,1.02148,-0.45057,21,0
178,10,4,1.02148,-0.40764,21,0
179,10,5,1.02148,-0.36472,21,0
180,10,6,1.02148,-0.32017,21,0
181,10,7,1.02148,-0.27724,21,0
182,10,8,1.02148,-0.23432,21,0
183,10,9,1.02148,-0.18976,21,0
184,10,10,1.02148,-0.14684,21,0
185,10,11,1.02148,-0.10391,21,0
186,10,12,1.02148,-0.05936,21,0
187,10,13,1.02148,-0.01643,21,0
188,10,14,1.02148,0.02649,21,0
189,10,15,1.02148,0.07104,21,0
190,10,16,1.02148,0.11397,21,0
191,10,17,1.02148,0.1569,21,0
192,10,18,1.02148,0.20145,21,0
193,10,19,1.02148,0.24437,21,0
194,10,20,1.02148,0.2873,21,1
195,11,0,0.97855,-0.58097,21,1
196,11,1,0.97855,-0.53805,21,0
197,11,2,0.97855,-0.49512,21,0
198,11,3,0.97855,-0.45057,21,0
199,11,4,0.97855,-0.40764,21,0
200,11,5,0.97855,-0.36472,21,0
201,11,6,0.97855,-0.32017,21,0
202,11,7,0.97855,-0.27724,21,0
203,11,8,0.97855,-0.23432,21,0
204,11,9,0.97855,-0.18976,21,0
205,11,10,0.97855,-0.14684,21,0
206,11,11,0.97855,-0.10391,21,0
207,11,12,0.97855,-0.05936,21,0
208,11,13,0.97855,-0.01643,21,0
209,11,14,0.97855,0.02649,21,0
210,11,15,0.97855,0.07104,21,0
211,11,16,0.97855,0.11397,21,0
212,11,17,0.97855,0.1569,21,0
213,11,18,0.97855,0.20145,21,0
214,11,19,0.97855,0.24437,21,0
215,11,20,0.97855,0.2873,21,1
216,12,0,0.93563,-0.62217,24,1
217,12,1,0.93563,-0.57925,24,0
218,12,2,0.93563,-0.53632,24,0
219,12,3,0.93563,-0.49177,24,0
220,12,4,0.93563,-0.44884,24,0
221,12,5,0.93563,-0.40592,24,0
222,12,6,0.93563,-0.36137,24,0
223,12,7,0.93563,-0.31844,24,0
224,12,8,0.93563,-0.27551,24,0
225,12,9,0.93563,-0.23096,24,0
226,12,10,0.93563,-0.18804,24,0
227,12,11,0.93563,-0.14511,24,0
228,12,12,0.93563,-0.10056,24,0
229,12,13,0.93563,-5.76E-02,24,0
230,12,14,0.93563,-0.01471,24,0
231,12,15,0.93563,0.02984,24,0
232,12,16,0.93563,0.07277,24,0
233,12,17,0.93563,0.1157,24,0
234,12,18,0.93563,0.16025,24,0
235,12,19,0.93563,0.20317,24,0
236,12,20,0.93563,0.2461,24,0
237,12,21,0.93563,0.29065,24,0
238,12,22,0.93563,0.33358,24,0
239,12,23,0.93563,0.3765,24,1
240,13,0,0.8927,-0.62217,24,1
241,13,1,0.8927,-0.57925,24,0
242,13,2,0.8927,-0.53632,24,0
243,13,3,0.8927,-0.49177,24,0
244,13,4,0.8927,-0.44884,24,0
245,13,5,0.8927,-0.40592,24,0
246,13,6,0.8927,-0.36137,24,0
247,13,7,0.8927,-0.31844,24,0
248,13,8,0.8927,-0.27551,24,0
249,13,9,0.8927,-0.23096,24,0
250,13,10,0.8927,-0.18804,24,0
251,13,11,0.8927,-0.14511,24,0
252,13,12,0.8927,-0.10056,24,0
253,13,13,0.8927,-5.76E-02,24,0
254,13,14,0.8927,-0.01471,24,0
255,13,15,0.8927,0.02984,24,0
256,13,16,0.8927,0.07277,24,0
257,13,17,0.8927,0.1157,24,0
258,13,18,0.8927,0.16025,24,0
259,13,19,0.8927,0.20317,24,0
260,13,20,0.8927,0.2461,24,0
261,13,21,0.8927,0.29065,24,0
262,13,22,0.8927,0.33358,24,0
263,13,23,0.8927,0.3765,24,1
264,14,0,0.84977,-0.62217,24,1
265,14,1,0.84977,-0.57925,24,0
266,14,2,0.84977,-0.53632,24,0
267,14,3,0.84977,-0.49177,24,0
268,14,4,0.84977,-0.44884,24,0
269,14,5,0.84977,-0.40592,24,0
270,14,6,0.84977,-0.36137,24,0
271,14,7,0.84977,-0.31844,24,0
272,14,8,0.84977,-0.27551,24,0
