idblk,xpos,ypos
34,1.36489,-0.130487
95,1.19318,-0.348369
217,0.935625,-0.521698
283,0.849773,0.260723
308,0.806847,0.382449
315,0.763921,-0.355421
348,0.720995,0.0357902
363,0.678069,-0.355421
405,0.635143,0.296597
440,0.592217,0.643257
487,0.506365,0.339523
609,0.291735,-0.225017
783,0.034179,0.296597
793,-0.008747,-0.442898
810,-0.008747,0.296597
813,-0.008747,0.427001
875,-0.137525,-0.399972
928,-0.223377,-0.442898
964,-0.266303,-0.0516874
965,-0.266303,-0.0087614
984,-0.309229,-0.355421
985,-0.309229,-0.312495
1013,-0.352155,-0.269569
1074,-0.438007,0.0357902
1080,-0.438007,0.296597
1094,-0.480933,-0.269569
1121,-0.523859,-0.269569
1172,-0.609711,-0.399972
1205,-0.652637,-0.139165
1220,-0.652637,0.512853
1276,-0.738489,0.600331
1342,-0.867267,-0.0516874
1359,-0.910193,-0.355421
1386,-0.953119,-0.225017
1421,-0.996045,0.174146
1434,-1.03897,-0.302917
1457,-1.0819,-0.347469
1550,-1.2536,-0.0882614
1568,-1.29653,-0.218665
1627,-1.4253,-0.225291
